latitude,longitude
-29.1304354965687,-96.8864439278841
-28.8405804336071,-86.0805828869343
-28.8405804336071,-97.0695941150189
-29.1304354965687,-86.0805828869343
-29.1304354965687,-97.0695941150189
-28.8405804336071,-85.8974326997996
-28.8405804336071,-97.2527443021536
-29.1304354965687,-85.8974326997996
-29.1304354965687,-97.2527443021536
-28.8405804336071,-85.7142825126648
-28.8405804336071,-97.4358944892884
-29.1304354965687,-85.7142825126648
-29.1304354965687,-97.4358944892884
-28.8405804336071,-85.5311323255301
-28.8405804336071,-97.6190446764231
-29.1304354965687,-85.5311323255301
-29.1304354965687,-97.6190446764231
-28.8405804336071,-85.3479821383954
-28.8405804336071,-97.8021948635579
-29.1304354965687,-85.3479821383954
-29.1304354965687,-97.8021948635579
-28.8405804336071,-85.1648319512606
-28.8405804336071,-97.9853450506926
-29.1304354965687,-85.1648319512606
-29.1304354965687,-97.9853450506926
-28.8405804336071,-84.9816817641259
-28.8405804336071,-98.1684952378273
-29.1304354965687,-84.9816817641259
-29.1304354965687,-98.1684952378273
-28.8405804336071,-84.7985315769911
-28.8405804336071,-98.3516454249621
-29.1304354965687,-84.7985315769911
-29.1304354965687,-98.3516454249621
-28.8405804336071,-84.6153813898564
-28.8405804336071,-98.5347956120968
-29.1304354965687,-84.6153813898564
-29.1304354965687,-98.5347956120968
-28.8405804336071,-84.4322312027216
-28.8405804336071,-98.7179457992316
-29.1304354965687,-84.4322312027216
-29.1304354965687,-98.7179457992316
-28.8405804336071,-84.2490810155869
-28.8405804336071,-98.9010959863663
-29.1304354965687,-84.2490810155869
-29.1304354965687,-98.9010959863663
-28.8405804336071,-84.0659308284522
-28.8405804336071,-99.0842461735011
-29.1304354965687,-84.0659308284522
-29.1304354965687,-99.0842461735011
-28.8405804336071,-83.8827806413174
-28.8405804336071,-99.2673963606358
-29.1304354965687,-83.8827806413174
-29.1304354965687,-99.2673963606358
-28.8405804336071,-83.6996304541827
-28.8405804336071,-99.4505465477705
-29.1304354965687,-83.6996304541827
-29.1304354965687,-99.4505465477705
-28.8405804336071,-83.5164802670479
-28.8405804336071,-99.6336967349053
-29.1304354965687,-83.5164802670479
-29.1304354965687,-99.6336967349053
-28.8405804336071,-83.3333300799132
-28.8405804336071,-99.81684692204
-29.1304354965687,-83.3333300799132
-29.1304354965687,-99.81684692204
-28.8405804336071,-83.1501798927784
-28.8405804336071,-99.9999971091748
-29.1304354965687,-83.1501798927784
-29.1304354965687,-99.9999971091748
-28.8405804336071,-82.9670297056437
-28.8405804336071,-100.18314729631
-29.1304354965687,-82.9670297056437
-29.1304354965687,-100.18314729631
-28.8405804336071,-82.783879518509
-28.8405804336071,-100.366297483444
-29.1304354965687,-82.783879518509
-29.1304354965687,-100.366297483444
-28.8405804336071,-82.6007293313742
-28.8405804336071,-100.549447670579
-29.1304354965687,-82.6007293313742
-29.1304354965687,-100.549447670579
-28.6956529021263,-91.5750885009766
-28.6956529021263,-91.5750885009766
-29.2753630280495,-91.5750885009766
-29.2753630280495,-91.5750885009766
-28.6956529021263,-91.3919383138419
-28.6956529021263,-91.7582386881113
-29.2753630280495,-91.3919383138419
-29.2753630280495,-91.7582386881113
-28.6956529021263,-91.2087881267071
-28.6956529021263,-91.9413888752461
-29.2753630280495,-91.2087881267071
-29.2753630280495,-91.9413888752461
-28.6956529021263,-91.0256379395724
-28.6956529021263,-92.1245390623808
-29.2753630280495,-91.0256379395724
-29.2753630280495,-92.1245390623808
-28.6956529021263,-90.8424877524376
-28.6956529021263,-92.3076892495156
-29.2753630280495,-90.8424877524376
-29.2753630280495,-92.3076892495156
-28.6956529021263,-90.6593375653029
-28.6956529021263,-92.4908394366503
-29.2753630280495,-90.6593375653029
-29.2753630280495,-92.4908394366503
-28.6956529021263,-90.4761873781681
-28.6956529021263,-92.6739896237851
-29.2753630280495,-90.4761873781681
-29.2753630280495,-92.6739896237851
-28.6956529021263,-90.2930371910334
-28.6956529021263,-92.8571398109198
-29.2753630280495,-90.2930371910334
-29.2753630280495,-92.8571398109198
-28.6956529021263,-90.1098870038987
-28.6956529021263,-93.0402899980545
-29.2753630280495,-90.1098870038987
-29.2753630280495,-93.0402899980545
-28.6956529021263,-89.9267368167639
-28.6956529021263,-93.2234401851893
-29.2753630280495,-89.9267368167639
-29.2753630280495,-93.2234401851893
-28.6956529021263,-89.7435866296292
-28.6956529021263,-93.406590372324
-29.2753630280495,-89.7435866296292
-29.2753630280495,-93.406590372324
-28.6956529021263,-89.5604364424944
-28.6956529021263,-93.5897405594588
-29.2753630280495,-89.5604364424944
-29.2753630280495,-93.5897405594588
-28.6956529021263,-89.3772862553597
-28.6956529021263,-93.7728907465935
-29.2753630280495,-89.3772862553597
-29.2753630280495,-93.7728907465935
-28.6956529021263,-89.194136068225
-28.6956529021263,-93.9560409337283
-29.2753630280495,-89.194136068225
-29.2753630280495,-93.9560409337283
-28.6956529021263,-89.0109858810902
